Song_ID,Title,Dancability,Artist,Genre_ID,Key_ID,User_ID,Lyrics,Creation_Date,Released_Status,Time_Signature
1,Swimming Pools (Drank),0.693,Kendrick Lamar,6,7,none,"Lyrics
Pour up (drank), head shot (drank)
Sit down (drank), stand up (drank)
Pass out (drank), wake up (drank)
Faded (drank), faded (drank)
Now I done grew up 'round some people livin' their life in bottles
Granddaddy had the golden flask
Backstroke every day in Chicago
Some people like the way it feels
Some people wanna kill their sorrows
Some people wanna fit in with the popular, that was my problem
I was in the dark room, loud tunes, lookin' to make a vow soon
That I'ma get fucked up, fillin' up my cup, I see the crowd mood
Changin' by the minute and the record on repeat
Took a sip, then another sip, then somebody said to me
Nigga why you babysittin' only two or three shots?
I'ma show you how to turn it up a notch
First you get a swimming pool full of liquor, then you dive in it
Pool full of liquor, then you dive in it
I wave a few bottles, then I watch 'em all flock
All the girls wanna play Baywatch
I got a swimming pool full of liquor and they dive in it
Po-pool full of liquor I'ma dive in it
Pour up (drank), head shot (drank)
Sit down (drank), stand up (drank)
Pass out (drank), wake up (drank)
Faded (drank), faded (drank)
Okay, now open your mind up and listen me, Kendrick
I'm your conscience, if you do not hear me
Then you will be history, Kendrick
I know that you're nauseous right now
And I'm hopin' to lead you to victory, Kendrick
If I take another one down I'ma drown in some poison abusin' my limit
I think that I'm feelin' the vibe, I see the love in her eyes
I see the feelin', the freedom is granted
As soon as the damage of vodka arrive
This how you capitalize, this is parental advice
Then apparently, I'm over-influenced by what you are doin'
I thought I was doin' the most then someone said to me
Nigga why you babysittin' only two or three shots?
I'ma show you how to turn it up a notch
First you get a swimming pool full of liquor, then you dive in it
Pool full of liquor, then you dive in it
I wave a few bottles, then I watch 'em all flock
All the girls wanna play Baywatch
I got a swimming pool full of liquor and they dive in it
Po-pool full of liquor I'ma dive in it
Pour up (drank), head shot (drank)
Sit down (drank), stand up (drank)
Pass out (drank), wake up (drank)
Faded (drank), faded (drank)
I ride, you ride, bang
One chopper, 100 shots, bang
Hop out, do you bang?
Two chopper, 200 shots, bang
I ride, you ride, bang
One chopper, 100 shots, bang
Hop out, do you bang?
Two chopper, 200 shots, bang
Nigga why you babysittin' only two or three shots?
I'ma show you how to turn it up a notch
First you get a swimming pool full of liquor, then you dive in it
Pool full of liquor, then you dive in it
I wave a few bottles, then I watch 'em all flock
All the girls wanna play Baywatch
I got a swimming pool full of liquor and they dive in it
Po-pool full of liquor I'ma dive in it
Pour up (drank), head shot (drank)
Sit down (drank), stand up (drank)
Pass out (drank), wake up (drank)
Faded (drank), faded (drank)
Sherane, Sherane
(Pool full of Kendrick's lies in it)
(W-watch 'em all flock)
Aw man, where is she takin' me?
Where is she takin' me? (Pool full of liquor I'ma die in it)
All I, all I, all I, all I have in life is my new appetite for failure
And I got Hunger pain that grow insane, tell me do that sound familiar?
If it do then you're like me, making excuse that your relief
Is in the bottom of the bottle and the greenest indo leaf
As the window open I release everything that corrode inside of me
I see you joking, why you laugh? Don't you feel bad?
I probably sleep and never ever wake up
Never ever wake up, never ever wake up
In God I trust
But just when I thought I had enough
They stomped the homie out over a bitch?
K-Dot, you good, blood?
Now we can drop, ye we can drop you back off
That nigga's straight, man, that nigga ain't trippin'
We gon' do the same ol' shit
I'ma pop a few shots, they gon' run, they gon' run opposite ways
Fall right in -'s lap
And he gon' tear they ass up, simple as that
And I hope that bitch that set him up out there
We gon' pop that bitch too
Wait hold up, ayy, I see someone
Aha, got them niggas, K-Dot, you good?
L-, you good?
Yeah, blood, I'm good, Dave, you good?
Dave? Dave, say somethin', Dave?
These bitch ass niggas killed my brother",2012-01-01,1,4
2,The Chain - 2004 Remaster,0.545,Fleetwood Mac,5,16,none,"Listen to the wind blow, watch the sun rise
Running in the shadows, damn your love, damn your lies
And if you don't love me now
You will never love me again
I can still hear you saying
You would never break the chain (never break the chain)
And if you don't love me now (you don't love me now)
You will never love me again
I can still hear you saying (still hear you saying)
You would never break the chain (never break the chain)
Listen to the wind blow, down comes the night
Running in the shadows, damn your love, damn your lies
Break the silence, damn the dark, damn the light
And if you don't love me now
You will never love me again
I can still hear you saying
You would never break the chain (never break the chain)
And if you don't love me now (you don't love me now)
You will never love me again
I can still hear you saying (still hear you saying)
You would never break the chain (never break the chain)
And if you don't love me now (you don't love me now)
You will never love me again
I can still hear you saying (still hear you saying)
You would never break the chain (never break the chain)
Chain keep us together (running in the shadow)
Chain keep us together (running in the shadow)
Chain keep us together (running in the shadow)
Chain keep us together (running in the shadow)
Chain keep us together (running in the shadow)
Chain
",1977-02-04,1,4
3,Everything In Its Right Place,0.296,Radiohead,6,5,none,"Kid A, Kid A
Kid A, Kid A
Everything
Everything
Everything
Everything
In its right place
In its right place
In its right place
In its right place
Yesterday, I woke up sucking on a lemon
Yesterday, I woke up sucking on a lemon
Yesterday, I woke up sucking on a lemon
Yesterday, I woke up sucking on a lemon
Everything
Everything
Everything
In its right place
In its right place
In its right place
Right place
There are two colors in my head
There are two colors in my head
What, what is that you tried to say?
What, what was that you tried to say?
Tried to say
Tried to say
Tried to say
Tried to say
Everything
Everything
Everything
Everything",2000-10-02,1,4
4,Miskine,0.817,Luidji,9,18,none,"Tu ne fais plus rien pour toi
Tu ne vis que pour les caméras
Tu ne fais plus rien pour toi
Tu ne vis que pour les caméras
Maman voulait que je brille
Que je passe à la radio
Moi, je prie pour ne pas vriller, hmm
Maman voulait que je brille
Que je passe à la radio
Moi, je prie pour ne pas vriller, hmm
Oh, miskine, pauvre imbécile
T'es enfermé dans ton rôle
Insensible, ton cœur est mort
Oh, miskine, l'adrénaline
La lumière t'a rendu fou
Tout c'qui brille n'est pas de l'or
Hier soir, j'ai recroisé ma bête noire dans l'miroir
Cet enfoiré porte des lunettes noires même le soir
Malgré moi, je plane, alcool, drogue et femmes
J'y laisse un peu de mon cœur, un peu de mon âme
Maman voulait que je brille
Que je passe à la radio
Moi, je prie pour ne pas vriller, hmm
Maman voulait que je brille
Que je passe à la radio
Moi, je prie pour ne pas vriller, hmm",2023-06-22,1,4
5,DAUGHTER,0.374,Beyoncé,3,8,none,"Your body laid out on these filthy floors
Your bloodstains on my custom coutures
Bathroom attendant let me right in
She was a big fan
I really tried to stay cool
But your arrogance disturbed my solitude
Now I ripped your dress and you're all black and blue
Look what you made me do
They keep sayin' that I ain't nothin' like my father
But I'm the furthest thing from choir boys and altars
If you cross me, I'm just like my father
I am colder than Titanic water
Help me, Lord, from these fantasies in my head
They ain't ever been safe ones
I don't fellowship with these fake ones
So let's travel to white chapels and sing hymns
Hold rosaries and sing in stained-glass symphonies
Cleanse me, Holy Trinity, from this marijuana smoke smell in my hair
I sashayed my dress
Did my best impression of a damsel in distress
This alcohol and smell of regret
Allured my catch
Outfit too small to hide my scars
Feelin' bottled up like bottle service broads
How long can he hold his breath before his death?
Caro mio ben
Credimi almen
Senza di te
Languisce il cor
Il tuo fedel
Sospira ognor
Cessa, crudel
Tanto rigor
Ooh
Ooh
Help me, Lord, from these fantasies in my head
They ain't ever been safe ones
I don't fellowship with these fake ones
So let's travel to white chapels and sing hymns
Hold rosaries, sing in stained-glass symphonies
Cleanse me, Holy Trinity, from this marijuana smoke smell in my hair
Say I'm nothin' like my father
But I'm the furthest thing from choir boys and altars
Double cross me, I'm just like my father
I am colder than Titanic water",2024-03-29,1,4
6,J'ai encore rêvé d'elle,0.435,Il Etait Une Fois,2,9,none,"J'ai encore rêvé d'elle
C'est bête, elle n'a rien fait pour ça
Elle n'est pas vraiment belle
C'est mieux, elle est faite pour moi
Tout en douceur
Juste pour mon cœur
Je l'ai rêvé si fort
Que les draps s'en souviennent
Je dormais dans son corps
Bercé par ses ""Je t'aime""
Si je pouvais me réveiller à ses côtés
Si je savais où la trouver
Donnez-moi
L'espoir
Prêtez-moi
Un soir
Une nuit, juste pour elle et moi
Et demain
Matin
Elle s'en ira
J'ai encore rêvé d'elle
Je rêve aussi
Je n'ai rien fait pour ça
J'ai mal dormi
Elle n'est pas vraiment belle
J'ai un peu froid
Elle est faite pour moi
Réveille-toi
Tout en douceur
Juste pour mon cœur
Si je pouvais me réveiller à ses côtés (ouvre tes yeux, tu ne dors pas)
Si je savais où la trouver (regarde-moi)
Donnez-moi
L'espoir (je suis à toi)
Prêtez-moi
Un soir
Je t'aime
Une nuit, juste pour elle et moi
Et demain
Enfin, je vais me réveiller à ses côtés (je t'attendais, regarde-moi)
C'est sûr, je vais la retrouver (ouvre tes bras)
Donnez-moi un soir (donnez-lui)
Je suis à toi
Laissez-moi y croire (une vie)
Une vie, juste toi et moi
Et demain
Tu seras là",1975-01-01,1,4
7,Chemtrails Over The Country Club,0.334,Lana Del Rey,3,10,none,"I'm on the run with you, my sweet love
There's nothing wrong contemplating God
Under the chemtrails over the country club
Wearing our jewels in the swimming pool
Me and my sister just playing it cool
Under the chemtrails over the country club
Take out your turquoise and all of your jewels
Go to the market, the kids' swimming pools
Baby, what's your sign?
My moon's in Leo, my Cancer is sun
You won't play, you're no fun
Well, I don't care what they think
Drag racing my little red sports car
I'm not unhinged or unhappy, I'm just wild
I'm on the run with you, my sweet love
There's nothing wrong contemplating God
Under the chemtrails over the country club
Wearing our jewels in the swimming pool
Me and my sister just playing it cool
Under the chemtrails over the country club
Meet you for coffee at the elementary schools
We laugh about nothing as the summer gets cool
It's beautiful how this deep normality settles down over me
I'm not bored or unhappy, I'm still so strange and wild
You're in the wind, I'm in the water
Nobody's son, nobody's daughter
Watching the chemtrails over the country club
Suburbia, The Brentwood Market
What to do next? Maybe we'll love it
White picket chemtrails over the country club
My love, my love
Washing my hair, doing the laundry
Late-night TV, I want you only
Like when we were kids under chemtrails and country clubs
It's never too late, baby, so don't give up
It's never too late, baby, so don't give up
Under the chemtrails over the country club, yeah (you're born in December and I'm born in June)
You're born in December and I'm born in June (under the chemtrails over the country club, yeah)
My Cancer is sun and my Leo is moon
My Cancer is sun and my Leo is moon",2021-03-19,1,3
8,MODERN JAM (feat. Teezo Touchdown),0.517,Travis Scott,6,11,none,"Yeah-yeah, yeah-yeah, turn it up, my headphones
To the maker, vibrator
Roof shaker, earthquaker
Annihilator
Yeah
Baby, please get off the 'Gram
I like you better in the stands
I upgrade my only fan
It do or don't need a cam'
This right here my new modern jam
I'm on fire, the new burnin' man
She paid to view, that's an on-demand
Hey, Guy-Man, brought him home from France
This shit punk, put it on the Bible
I like a bi girl on a bi-cycle
Then I bought a car, now she feel entitled
My dick so hard, pokin' likе the Eiffel
I just need the world, I ain't hard to plеase
Way I keep the knowledge, think I'm Socrates
I got 'em levitatin' way off their knees
The way I make it jump, I make it hard to breathe, it's like
Bright, tight
The annihilator, forever favor
True upgrader, you a shaker
Car breaker
Baby, don't you know I got to go?
Got the glow and it got to show
Know it's been a year since I seen the road
Had me inside like I'm on parole
I'm outside like I'm on patrol
I hear the zeitgeist, now I'm in the zone
You know they say you up when you finally free
It won't feel right if it's only me
If you're scared, nigga, say your grace
I got the formula like I own the race
I got the keys with me like I own the place
If these niggas on top, then I'm outta space
I'd rather spend it on you than on Uncle Sam
Give this shit my all, but don't give a damn
Even in the winter, it's a summer jam
I told her buckle up 'cause it's goin' down, it's like
Bright
Truth breaker, heartthrob, baby
Feather skater, you true raider
Daka-doo-doo-da-da
Uh-uh, I know you're lyin'
Outside waitin' in the line
Gettin' dough one at a time (oh)
Uh-uh, I know you're lyin'
Outside waitin' in the line
Gettin' dough one at a time (oh)
Bounce, baby, I'm in the buildin', baby
Do it, baby, you got my consent, baby
Oh, this the remix, oh, this the remix
Before she let me in, she gotta pat me down
Before she let me in, she gotta pat me down
The annihilator
Forever favor",2023-07-28,1,4
9,What Was I Made For?,0.444,Billie Eilish,1,1,none,"I used to float, now I just fall down
I used to know but I'm not sure now
What I was made for
What was I made for?
Takin' a drive, I was an ideal
Looked so alive, turns out I'm not real
Just something you paid for
What was I made for?
'Cause I, I
I don't know how to feel
But I wanna try
I don't know how to feel
But someday, I might
Someday, I might
When did it end? All the enjoyment
I'm sad again, don't tell my boyfriend
It's not what he's made for
What was I made for?
'Cause I, 'cause I
I don't know how to feel
But I wanna try
I don't know how to feel
But someday I might
Someday I might
Think I forgot how to be happy
Something I'm not, but something I can be
Something I wait for
Something I'm made for
Something I'm made for",2023-07-13,1,4
10,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),0.468,"Tyler, The Creator",9,6,none,"No, no, no, no, no, no, listen, listen (call me when you get lost, lost)
The driver gon' drop you off
Alright, it's warm (call me when you get lost, lost)
The waterfall is crazy
I don't know, make somethin' up, tell him somethin'
Uh, come on
Still on the boat
Call me if you get lost
You and I, we fell in love
I ain't read the signs, ain't know what it was
But God gotta know he might have peaked when he made you
The cosmos' only mistake is what they named you (what that mean?)
They should call you sugar, you're so sweet
Well, they should call you sugar
'Cause you're so sweet to me
Well, they should call you sugar, sugar, oh, you're so sweet
'Cause, baby, you're the sweetest, sweetest, sweetest thing I've known
Baby, you're the sweetest thing
Even if
You left me out here stranded
My feelings wouldn't change a bit
(You know how I feel about you, are you ready?)
You know how I feel, baby
Infinite
The love I have for you, a diamond couldn't put a dent in it (uh, go to the bridge thing, okay)
Darling, you're the wind under my wings
My heart beats triple time when I see you
Somethin' I can't control
If I compared you, the sun is a stand-in (sun)
You got a smile that could light up a planet (smile) yeah (oh, oh)
And I just wanted you to know (they should call you sugar)
They should call you sugar, you're so sweet
Well, they should call you sugar (why?)
'Cause you're so sweet to me (sugar)
Well, they should call you sugar (sugar) you're so sweet (oh, oh)
'Cause, baby, you're the sweetest, sweetest, sweetest thing I've known (ooh, girl)
You're the sweetest
They should call you sugar, you're so sweet (sugar, sugar, sugar, sugar)
Well, they should call you sugar (why?)
'Cause you're so sweet to me
Well, they should call you sugar, you're so sweet (you're so sweet to me)
'Cause, baby, you're the sweetest, sweetest, sweetest (I know)
And you look so good (yeah)
And you smell so good (yeah, yeah, yeah, yeah)
And you taste so good (yeah)
And you're so, so good (yeah, yeah, yeah, yeah)
You're the sweetest (yeah)
Yeah, you are, ha-ha
Sweet like, like motherfuckin' brown sugar sweet potatoes (are you ready?)
Or somethin'
Ha-ha
The plan was to stick my toe in and
Check the temperature, but
Next thing I know, I'm
I'm drownin'
Appelle-moi si tu te perds
This here for the sunseekers
Run the track
What makes you think
I'm not in love?
How could you know
What's best for us?
Why am I here
Standing alone?
'Cause I thought, I thought you wanted to dance, yeah (welcome to the disco)
You're so good to me (yeah, yeah, yeah, yeah)
Yeah, it felt good to me, yeah, yeah, yeah (yeah, yeah, yeah, yeah), yeah, yeah
You're so good to me (yeah, yeah, yeah, yeah)
Yeah, it felt so good to me (yeah, yeah, yeah)
So, what makes you think (what makes you think)
I'm not in love? (I'm not in love?)
And how could you know (how could you know)
What's best for us, us, us? (What's best for us?)
Why am I here (why am I here)
Standing alone? (Standing alone?)
Because I thought you wanted to dance with me
Honestly, it's all about the timing, yeah (yeah, yeah)
I ain't mean to lead you on, because
Him and I got some things that we're trying
But my energy belongs to you
I want you so bad, but not too fast
It's not your fault, we can't pretend
Because we both in the wrong
So what makes you think
I'm not in love? (Feels so good)
How could you know, know, know
What's best for us?
Why am I here
Standing alone?
'Cause I thought, I thought you wanted to dance, yeah (run the track)
'Cause I thought, I thought you wanted to dance
'Cause I thought, I thought you wanted to dance
I thought you wanted to dance
I thought you wanted to dance
I thought you wanted to dance
I wish that we never met, I wish that we ain't connect
Like Lego, connection good, but mixed signal
If you say so, like cardio
We stared up and down, but we didn't blink
Felt like dirty dishes 'cause we was in sync
I swear to God, if you and him never linked
I'd tear that ass up like somethin' was stole
I'd make them glass balls roll back to your skull
Call a tail number, where you wanna go?
The fuck do he got that I don't got a lot of?
There go my ego again, that's the problem
The fuck you expect? I go get what I want
I want you to say you pick me with your voice
I'm twenty-five up, but I can't buy your choice
You promised to me, but that's not the point
You got me out here smokin' joints
You got me out here losin' point
I'm cancellin' shoots and I'm cancellin'—
I'm hitchhiking, you pull over, so invitin'
The seat got my name on it, but who driving?
He hiatus, we spend time, and we repeat and we rewind it
Your headlights? It hit my eyelid
Love is blinding, y'all together? Don't remind me, so confusin'
What we doing? How y'all doing?
Oh, you choosin' him? Okay, I gotta cope with losing, fuck
I ain't been sleepin' well
Twin, I'll never tell
Stay busy so I don't think, 'cause downtime is when it sink in
I stare at old pictures, I, I thought you wanted to dance (dance)
I thought you wanted to dance, I
Maybe, maybe (for you)
What's the chance, though?
I wish that we had better timing
I'll save a dance just for you
So don't forget about me, ba-ba-ba-da
I'll save a dance just for you
I wish that we had better timing
I'll save a dance just for you (only for you, only for you)
So don't forget about me (no) ba-ba-ba-da
I'll save a dance just for you",2021-06-25,1,4
